Skill Name,Outbound,Center,Call Type,Month
CCSI Crisis,2503,CCSI,Press 1,July
Grassroots Crisis,611,Grassroots,Press 1,July
MHA Crisis,598,MHA,Press 1,July
BCRI Crisis,556,BCRI,Press 1,July
LCC Crisis,127,LCC,Press 1,July
CCSI Crisis,2400,CCSI,Press 1,August
MHA Crisis,675,MHA,Press 1,August
Grassroots Crisis,583,Grassroots,Press 1,August
BCRI Crisis,517,BCRI,Press 1,August
LCC Crisis,124,LCC,Press 1,August
CCSI Crisis,2487.0,CCSI,Press 1,September
MHA Crisis,726.0,MHA,Press 1,September
BCRI Crisis,561.0,BCRI,Press 1,September
Grassroots Crisis,532.0,Grassroots,Press 1,September
LCC Crisis,87.0,LCC,Press 1,September
CCSI Crisis,2754.0,CCSI,Press 1,October
BCRI Crisis,598.0,BCRI,Press 1,October
Grassroots Crisis,587.0,Grassroots,Press 1,October
MHA Crisis,524.0,MHA,Press 1,October
LCC Crisis,106.0,LCC,Press 1,October
CCSI Crisis,2454.0,CCSI,Press 1,November
BCRI Crisis,603.0,BCRI,Press 1,November
MHA Crisis,603.0,MHA,Press 1,November
Grassroots Crisis,578.0,Grassroots,Press 1,November
LCC Crisis,88.0,LCC,Press 1,November
CCSI Crisis,2575.0,CCSI,Press 1,December
BCRI Crisis,616.0,BCRI,Press 1,December
Grassroots Crisis,598.0,Grassroots,Press 1,December
MHA Crisis,596.0,MHA,Press 1,December
LCC Crisis,84.0,LCC,Press 1,December
CCSI Crisis,2698.0,CCSI,Press 1,January
MHA Crisis,698.0,MHA,Press 1,January
BCRI Crisis,554.0,BCRI,Press 1,January
Grassroots Crisis,549.0,Grassroots,Press 1,January
LCC Crisis,113.0,LCC,Press 1,January
