Call Count Range,# of Calls,Month
2 - 4 calls,547,July
5 - 7 calls,65,July
8 - 10 calls,12,July
More than 10 calls,23,July
2 - 4 calls,519,August
5 - 7 calls,70,August
8 - 10 calls,30,August
More than 10 calls,22,August
2 - 4 calls,557,September
5 - 7 calls,82,September
8 - 10 calls,26,September
More than 10 calls,20,September
2 - 4 calls,548,October
5 - 7 calls,97,October
8 - 10 calls,27,October
More than 10 calls,20,October
2 - 4 calls,615,November
5 - 7 calls,85,November
8 - 10 calls,23,November
More than 10 calls,8,November
2 - 4 calls,518,December
5 - 7 calls,97,December
8 - 10 calls,37,December
More than 10 calls,15,December
2 - 4 calls,573,January
5 - 7 calls,100,January
8 - 10 calls,34,January
More than 10 calls,24,January
